Наименование товара,Токенизированное наименование,Единица измерения,Цена в чеке,Кол-во единиц,Дата,Регион,kkt,ОКАТО,Товар представитель,Объем,Требуемая упаковка,Цена за требуемую упаковку,Факт упаковка
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,54.9,0.186,2019-01-27,Г.Санкт-Петербург,915ee0b85424d0088a84c09c86dadbc2,40000000000,Бананы,0.19,1,54.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,54.9,0.84,2019-01-27,Г.Санкт-Петербург,915ee0b85424d0088a84c09c86dadbc2,40000000000,Бананы,0.84,1,54.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,54.9,1.136,2019-01-27,Г.Санкт-Петербург,915ee0b85424d0088a84c09c86dadbc2,40000000000,Бананы,1.14,1,54.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,54.9,1.376,2019-01-27,Г.Санкт-Петербург,915ee0b85424d0088a84c09c86dadbc2,40000000000,Бананы,1.38,1,54.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,48.87,0.774,2019-01-27,Г.Санкт-Петербург,915ee0b85424d0088a84c09c86dadbc2,40000000000,Бананы,0.77,1,48.87,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,63.9,0.454,2019-01-27,"Нижегородская область, г. Нижний Новгород",f9d4a7fe76b4cf0d58de3a64452f98ac,22401000000,Бананы,0.45,1,63.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,63.9,1.608,2019-01-27,"Волгоградская область, г Михайловка",187de3009f38560d7105342467ffecb1,18420000000,Бананы,1.61,1,63.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,63.9,1.004,2019-01-27,"Волгоградская область, г Михайловка",187de3009f38560d7105342467ffecb1,18420000000,Бананы,1.0,1,63.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,72.9,0.162,2019-01-27,"Нижегородская область, р-н Шатковский, рп Шатки",36fc9fa6fcfbfa862cb6b654cfd572b6,22257551000,Бананы,0.16,1,72.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,72.9,0.344,2019-01-27,"Нижегородская область, р-н Шатковский, рп Шатки",36fc9fa6fcfbfa862cb6b654cfd572b6,22257551000,Бананы,0.34,1,72.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,66.17,0.518,2019-01-27,"Нижегородская область, р-н Шатковский, рп Шатки",36fc9fa6fcfbfa862cb6b654cfd572b6,22257551000,Бананы,0.52,1,66.17,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,72.9,0.322,2019-01-27,"Нижегородская область, р-н Шатковский, рп Шатки",36fc9fa6fcfbfa862cb6b654cfd572b6,22257551000,Бананы,0.32,1,72.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,72.9,1,2019-01-27,"Нижегородская область, р-н Шатковский, рп Шатки",36fc9fa6fcfbfa862cb6b654cfd572b6,22257551000,Бананы,1.0,1,72.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,72.9,1.31,2019-01-27,"Нижегородская область, р-н Шатковский, рп Шатки",36fc9fa6fcfbfa862cb6b654cfd572b6,22257551000,Бананы,1.31,1,72.9,1.0
БАНАНЫ (цена за 1кг),бананы цена за 1 кг,кг,72.9,0.782,2019-01-27,"Нижегородская область, р-н Шатковский, рп Шатки",36fc9fa6fcfbfa862cb6b654cfd572b6,22257551000,Бананы,0.78,1,72.9,1.0
